RupSub,RupEx,RupTerm,RupSubDate,RupExDate,RupTermDate,WaveSub,WaveEx,WaveTerm,WaveSubDate,WaveExDate,WaveTermDate,JobCode
16:20:20,16:21:31,16:24:13,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:25,16:24:33,16:26:06,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:26,16:25:31,16:26:40,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:26,16:25:58,16:27:27,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:26,16:25:24,16:26:32,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:26,16:25:24,16:27:21,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:27,16:25:29,16:28:02,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:27,16:25:25,16:27:32,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:28,16:25:27,16:27:13,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:28,16:25:24,16:27:16,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:25:24,16:26:55,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:25:26,16:27:20,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:25:58,16:28:01,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:25:27,16:27:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:26:15,16:28:08,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:26:34,16:30:30,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:26:44,16:28:57,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:26:42,16:28:58,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:29,16:26:23,16:29:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:27:37,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:24,16:28:19,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:28:07,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:27:51,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:27:55,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:28:49,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:24,16:27:59,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:23,16:28:00,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:24,16:27:58,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:30,16:26:41,16:29:48,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:31,16:26:41,16:28:20,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:36,16:26:49,16:28:26,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:36,16:27:04,16:28:41,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:36,16:27:22,16:29:38,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:37,16:27:25,16:29:34,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:37,16:27:26,16:29:58,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:37,16:27:42,16:29:35,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:37,16:27:42,16:30:05,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:37,16:27:25,16:28:55,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:25,16:29:21,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:25,16:28:54,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:24,16:29:16,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:27,16:30:47,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:25,16:28:56,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:25,16:28:39,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:38,16:27:26,16:28:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
16:24:39,16:27:25,16:29:37,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
